text,label
"amazing product, exceeded all expectations.",positive
"average product, meets expectations.",neutral
"horrible experience, will never buy again.",negative
"terrible experience, very unhappy.",negative
"great product, excellent customer service.",positive
"Quite poor product, does not meet expectations.",negative
"Pretty terrible product, complete waste of money.",negative
Quite very unhappy with this purchase.,negative
Really this is wonderful! i'm very satisfied.,positive
Very worst purchase ever. do not recommend.,negative
very disappointed with this purchase.,negative
Pretty the item arrived as described.,neutral
"Very functional, nothing to write home about.",neutral
"horrible product, completely unsatisfied.",negative
"Pretty the item is fine, nothing special.",neutral
"horrible quality, avoid at all costs.",negative
Very excellent service and great product.,positive
worst purchase ever. do not recommend.,negative
"Extremely fantastic product, exceeded my expectations.",positive
"terrible customer service, avoid this company.",negative
Extremely poor service and terrible product.,negative
"Quite it's okay, meets basic needs.",neutral
"Really it's decent, nothing to complain about.",neutral
Pretty it does what it's supposed to do.,neutral
Pretty love this product! it's exactly what i needed.,positive
"Extremely great product, excellent customer service.",positive
outstanding service and great customer support.,positive
Pretty great quality and fast shipping.,positive
"wonderful experience, will definitely buy again.",positive
"Pretty poor quality, not recommended.",negative
"Quite excellent value, would buy again.",positive
"awful product, nothing works as advertised.",negative
"Pretty terrible product, complete waste of money.",negative
Pretty the product is acceptable.,neutral
"terrible product, complete waste of money.",negative
"Quite terrible experience, very unhappy.",negative
Very it does what it's supposed to do.,neutral
Quite worst product i've ever purchased.,negative
this product is amazing! i love it so much.,positive
"Standard product, does its job.",neutral
love this product! it's exactly what i needed.,positive
"awful quality, very disappointed.",negative
"excellent quality, fast delivery, great price.",positive
Really excellent service and great product.,positive
excellent service and great product.,positive
"great product, excellent customer service.",positive
"Extremely perfect product, highly recommend!",positive
"standard quality, works fine.",neutral
Quite love this product! it's exactly what i needed.,positive
"Very awful quality, very disappointed.",negative
this product is amazing! i love it so much.,positive
worst purchase ever. do not recommend.,negative
this product is amazing! i love it so much.,positive
"it's decent, nothing to complain about.",neutral
Excellent service and great product.,positive
"Horrible experience, will never buy again.",negative
"Very terrible experience, would not recommend.",negative
This is the best product I've ever used.,positive
"cheap quality, broke after one use.",negative
"fantastic product, exceeded my expectations.",positive
"Extremely functional product, nothing exceptional.",neutral
"The product is fine, nothing exceptional.",neutral
"Quite standard quality, works fine.",neutral
"Really functional product, nothing exceptional.",neutral
"Very terrible experience, would not recommend.",negative
Pretty it does what it's supposed to do.,neutral
"Extremely poor product, does not meet expectations.",negative
excellent quality and fast shipping. highly recommend!,positive
"It's okay, meets basic needs.",neutral
"Pretty average quality, acceptable for the price.",neutral
"it's okay, does what it's supposed to do.",neutral
"fantastic quality, very pleased with purchase.",positive
"Extremely excellent value, would buy again.",positive
"Pretty horrible product, completely unsatisfied.",negative
this product is a complete disaster.,negative
Quite great value for money. very satisfied!,positive
"the item is fine, nothing special.",neutral
"Terrible experience, would not recommend.",negative
very disappointed with this purchase.,negative
"excellent quality, fast delivery, great price.",positive
Really bad service and unhelpful customer support.,negative
"Average quality, nothing remarkable.",neutral
"Really the product is functional, nothing more.",neutral
It does what it's supposed to do.,neutral
"Pretty outstanding product, highly recommended!",positive
"Really poor quality product, not worth the price.",negative
"horrible product, completely unsatisfied.",negative
highly satisfied with this purchase.,positive
"Quite amazing product, exceeded all expectations.",positive
"Really wonderful experience, will definitely buy again.",positive
Quite the product arrived on time. it works as expected.,neutral
Pretty great quality and fast shipping.,positive
very unhappy with this purchase.,negative
"fantastic quality, very pleased with purchase.",positive
"Very wonderful experience, will definitely buy again.",positive
worst purchase ever. do not recommend.,negative
Very worst product i've ever purchased.,negative
the product arrived on time. it works as expected.,neutral
"Functional product, nothing exceptional.",neutral
outstanding service and great customer support.,positive
"Pretty outstanding product, highly recommended!",positive
best purchase i've made this year. worth every penny.,positive
"terrible product, complete waste of money.",negative
"it's okay, nothing special.",neutral
"Very it's okay, nothing special.",neutral
"Extremely awful quality, very disappointed.",negative
bad service and unhelpful customer support.,negative
"the product is decent, nothing exceptional.",neutral
Really this is the best product i've ever used.,positive
very disappointed with this purchase.,negative
worst quality i've ever seen.,negative
"Quite horrible quality, avoid at all costs.",negative
Really this is wonderful! i'm very satisfied.,positive
Very perfect product for my needs. very happy!,positive
"functional product, nothing exceptional.",neutral
Extremely great value for money. very satisfied!,positive
worst quality i've ever seen.,negative
"standard product, does its job.",neutral
Quite this is wonderful! i'm very satisfied.,positive
Pretty this product is a complete disaster.,negative
"Very it's okay, does what it's supposed to do.",neutral
"poor quality, not recommended.",negative
Extremely best purchase i've made this year. worth every penny.,positive
"terrible experience, very unhappy.",negative
the product is acceptable.,neutral
"bad product, complete waste.",negative
"cheap quality, broke after one use.",negative
"horrible product, completely unsatisfied.",negative
"Really the item is fine, nothing special.",neutral
very unhappy with this purchase.,negative
"Extremely it's okay, does what it's supposed to do.",neutral
"standard product, does its job.",neutral
"Pretty average quality, acceptable for the price.",neutral
"the product is decent, nothing exceptional.",neutral
"horrible experience, will never buy again.",negative
"It works, but could be better.",neutral
very disappointed with this purchase.,negative
"Pretty average product, meets expectations.",neutral
"Terrible product, complete waste of money.",negative
"Functional, nothing to write home about.",neutral
"This is terrible, do not buy.",negative
"Pretty standard product, does its job.",neutral
"horrible product, completely unsatisfied.",negative
"Really terrible customer service, avoid this company.",negative
Very poor service and terrible product.,negative
"Very it's okay, nothing special.",neutral
Really excellent quality and fast shipping. highly recommend!,positive
perfect product for my needs. very happy!,positive
"wonderful experience, will definitely buy again.",positive
"Really top quality product, very happy with my purchase.",positive
Very best purchase i've made this year. worth every penny.,positive
"standard quality product, meets basic requirements.",neutral
Extremely excellent service and great product.,positive
"average product, nothing special but it works.",neutral
"Pretty terrible experience, very unhappy.",negative
the product is acceptable.,neutral
"Quite it's okay, meets basic needs.",neutral
Very this is the best product i've ever used.,positive
The item arrived as described.,neutral
Quite the item arrived as described.,neutral
"average quality, nothing remarkable.",neutral
"poor product, does not meet expectations.",negative
"Really the product is fine, nothing exceptional.",neutral
"poor quality, not recommended.",negative
"standard product, does its job.",neutral
"the product is fine, nothing exceptional.",neutral
Very this product is a complete disaster.,negative
"Really outstanding quality, very happy customer.",positive
"it's okay, does what it's supposed to do.",neutral
"Pretty great product, excellent customer service.",positive
Extremely bad service and unhelpful customer support.,negative
"top quality product, very happy with my purchase.",positive
Really bad service and unhelpful customer support.,negative
"average quality, acceptable for the price.",neutral
"terrible experience, would not recommend.",negative
"standard product, works as expected.",neutral
"Extremely average product, meets expectations.",neutral
"poor quality product, not worth the price.",negative
"bad quality, waste of money.",negative
"Extremely cheap quality, broke after one use.",negative
"average product, acceptable quality.",neutral
outstanding service and great customer support.,positive
"Pretty perfect product, highly recommend!",positive
"Quite standard product, does its job.",neutral
Really great value for money. very satisfied!,positive
"horrible product, completely unsatisfied.",negative
"Very wonderful experience, will definitely buy again.",positive
"Very awful product, nothing works as advertised.",negative
"Quite awful quality, very disappointed.",negative
"awful product, nothing works as advertised.",negative
perfect product for my needs. very happy!,positive
"Very bad quality, waste of money.",negative
love this product! it's exactly what i needed.,positive
"wonderful experience, will definitely buy again.",positive
Pretty worst product i've ever purchased.,negative
Extremely the product is acceptable.,neutral
the item arrived as described.,neutral
Extremely outstanding service and great customer support.,positive
"Really poor quality product, not worth the price.",negative
Extremely excellent service and great product.,positive
"Awful product, nothing works as advertised.",negative
"standard quality product, meets basic requirements.",neutral
"poor product, does not meet expectations.",negative
"Quite bad product, complete waste.",negative
"Extremely cheap quality, broke after one use.",negative
"Quite excellent quality, fast delivery, great price.",positive
love this product! it's exactly what i needed.,positive
"terrible experience, very unhappy.",negative
"Extremely outstanding product, highly recommended!",positive
"it's okay, nothing special.",neutral
The product is acceptable.,neutral
this product is amazing! i love it so much.,positive
"Really the product is decent, nothing exceptional.",neutral
"the product is functional, nothing more.",neutral
"terrible product, complete waste of money.",negative
"Extremely horrible experience, will never buy again.",negative
love this product! it's exactly what i needed.,positive
"Extremely poor quality, not recommended.",negative
love this product! it's exactly what i needed.,positive
"bad product, complete waste.",negative
Extremely highly satisfied with this purchase.,positive
"it's decent, nothing to complain about.",neutral
"Pretty terrible product, complete waste of money.",negative
"Horrible quality, avoid at all costs.",negative
Very poor service and terrible product.,negative
Best purchase I've made this year. Worth every penny.,positive
"terrible product, complete waste of money.",negative
"standard quality product, meets basic requirements.",neutral
"Very poor quality, not recommended.",negative
"Really average quality, acceptable for the price.",neutral
"Pretty the product is decent, nothing exceptional.",neutral
"poor product, does not meet expectations.",negative
"Really terrible customer service, avoid this company.",negative
great value for money. very satisfied!,positive
"Poor quality product, not worth the price.",negative
"Cheap quality, broke after one use.",negative
excellent service and great product.,positive
"horrible product, completely unsatisfied.",negative
very unhappy with this purchase.,negative
"Extremely poor product, does not meet expectations.",negative
Outstanding service and great customer support.,positive
"Very wonderful experience, will definitely buy again.",positive
"average product, nothing special but it works.",neutral
"Very fantastic quality, very pleased with purchase.",positive
"Quite bad product, complete waste.",negative
"standard product, does its job.",neutral
"outstanding product, highly recommended!",positive
"the product is decent, nothing exceptional.",neutral
"Extremely bad product, complete waste.",negative
"Very terrible experience, would not recommend.",negative
Pretty excellent quality and fast shipping. highly recommend!,positive
Pretty great value for money. very satisfied!,positive
"Pretty functional product, nothing exceptional.",neutral
"horrible quality, avoid at all costs.",negative
"Very average product, meets expectations.",neutral
"horrible product, completely unsatisfied.",negative
Quite this product is a complete disaster.,negative
"average product, meets expectations.",neutral
"excellent value, would buy again.",positive
"Fantastic product, exceeded my expectations.",positive
"Really terrible experience, would not recommend.",negative
"the item is fine, nothing special.",neutral
"Extremely poor quality, not recommended.",negative
"Really poor quality, not recommended.",negative
"Quite bad quality, waste of money.",negative
Very worst purchase ever. do not recommend.,negative
"Pretty average product, acceptable quality.",neutral
Pretty love this product! it's exactly what i needed.,positive
"the product is fine, nothing exceptional.",neutral
"Really functional, nothing to write home about.",neutral
Pretty worst quality i've ever seen.,negative
"functional, nothing to write home about.",neutral
"Very wonderful experience, will definitely buy again.",positive
"the product is fine, nothing exceptional.",neutral
"average product, acceptable quality.",neutral
Amazing features and great design. Love it!,positive
Quite very disappointed with this purchase.,negative
"outstanding product, highly recommended!",positive
"awful product, nothing works as advertised.",negative
"Very excellent quality, fast delivery, great price.",positive
"Very terrible experience, very unhappy.",negative
"Really average product, acceptable quality.",neutral
the product arrived on time. it works as expected.,neutral
"Pretty the product is functional, nothing more.",neutral
"Extremely fantastic product, exceeded my expectations.",positive
this is the best product i've ever used.,positive
"Really average product, meets expectations.",neutral
"it's decent, nothing to complain about.",neutral
"terrible experience, very unhappy.",negative
Quite perfect product for my needs. very happy!,positive
"perfect product, highly recommend!",positive
excellent quality and fast shipping. highly recommend!,positive
the product arrived on time. it works as expected.,neutral
"Pretty this is terrible, do not buy.",negative
"Very fantastic product, exceeded my expectations.",positive
"Really excellent quality, fast delivery, great price.",positive
Pretty best purchase i've made this year. worth every penny.,positive
this product is amazing! i love it so much.,positive
"Wonderful experience, will definitely buy again.",positive
"Really it works, but could be better.",neutral
"it's okay, does what it's supposed to do.",neutral
"Quite outstanding quality, very happy customer.",positive
"Very standard product, works as expected.",neutral
"Very excellent quality, fast delivery, great price.",positive
"the product is functional, nothing more.",neutral
Extremely this product is a complete disaster.,negative
"Extremely poor product, does not meet expectations.",negative
"it works fine, standard quality.",neutral
worst product i've ever purchased.,negative
the product is acceptable.,neutral
"Very amazing product, exceeded all expectations.",positive
the product arrived on time. it works as expected.,neutral
"Very wonderful experience, will definitely buy again.",positive
"poor quality, not recommended.",negative
"it's decent, nothing to complain about.",neutral
outstanding service and great customer support.,positive
"horrible product, completely unsatisfied.",negative
"average quality, acceptable for the price.",neutral
"Extremely terrible experience, would not recommend.",negative
worst quality i've ever seen.,negative
Pretty great quality and fast shipping.,positive
"it's decent, nothing to complain about.",neutral
"the product is fine, nothing exceptional.",neutral
Quite this is the best product i've ever used.,positive
Really best purchase i've made this year. worth every penny.,positive
Quite poor quality and slow shipping. very disappointed.,negative
very disappointed with this purchase.,negative
"Really terrible customer service, avoid this company.",negative
"Very horrible quality, avoid at all costs.",negative
Quite perfect product for my needs. very happy!,positive
"average quality, acceptable for the price.",neutral
"Extremely standard product, works as expected.",neutral
"terrible experience, would not recommend.",negative
"it's decent, nothing to complain about.",neutral
This product is amazing! I love it so much.,positive
"Pretty poor product, does not meet expectations.",negative
perfect! exactly what i was looking for.,positive
excellent quality and fast shipping. highly recommend!,positive
this product is a complete disaster.,negative
this is the best product i've ever used.,positive
"Pretty it works fine, standard quality.",neutral
amazing features and great design. love it!,positive
"Extremely excellent value, would buy again.",positive
"Extremely poor quality, not recommended.",negative
"Extremely the product is decent, nothing exceptional.",neutral
this is wonderful! i'm very satisfied.,positive
"average product, nothing special but it works.",neutral
perfect! exactly what i was looking for.,positive
"Very poor product, does not meet expectations.",negative
"terrible product, complete waste of money.",negative
"Really standard product, does its job.",neutral
Extremely amazing features and great design. love it!,positive
"poor product, does not meet expectations.",negative
"The item is fine, nothing special.",neutral
"the product is decent, nothing exceptional.",neutral
"Quite average product, nothing special but it works.",neutral
"Pretty it's okay, nothing special.",neutral
"terrible product, complete waste of money.",negative
Extremely very unhappy with this purchase.,negative
"the item is fine, nothing special.",neutral
"bad product, complete waste.",negative
"Extremely average quality, nothing remarkable.",neutral
"Extremely it's decent, nothing to complain about.",neutral
Pretty very disappointed with this purchase.,negative
"the product is decent, nothing exceptional.",neutral
Bad service and unhelpful customer support.,negative
"Pretty poor quality, not recommended.",negative
"Very outstanding quality, very happy customer.",positive
Very best purchase i've made this year. worth every penny.,positive
Pretty this product is a complete disaster.,negative
"functional, nothing to write home about.",neutral
"Pretty fantastic product, exceeded my expectations.",positive
"Really it's okay, nothing special.",neutral
"Quite excellent value, would buy again.",positive
Great value for money. Very satisfied!,positive
Really the product is acceptable.,neutral
"Really functional, nothing to write home about.",neutral
"Standard quality, works fine.",neutral
Quite worst product i've ever purchased.,negative
"terrible product, complete waste of money.",negative
"average product, meets expectations.",neutral
poor quality and slow shipping. very disappointed.,negative
"Really it's okay, meets basic needs.",neutral
"it works fine, standard quality.",neutral
worst product i've ever purchased.,negative
highly satisfied with this purchase.,positive
the product arrived on time. it works as expected.,neutral
"perfect product, highly recommend!",positive
Extremely excellent quality and fast shipping. highly recommend!,positive
"Quite it's decent, nothing to complain about.",neutral
"top quality product, very happy with my purchase.",positive
"Horrible product, completely unsatisfied.",negative
"average product, meets expectations.",neutral
"terrible product, complete waste of money.",negative
great value for money. very satisfied!,positive
"Average quality, acceptable for the price.",neutral
Really love this product! it's exactly what i needed.,positive
"Quite fantastic quality, very pleased with purchase.",positive
"it works fine, standard quality.",neutral
it does what it's supposed to do.,neutral
"Outstanding quality, very happy customer.",positive
"Really amazing product, exceeded all expectations.",positive
"Pretty terrible experience, would not recommend.",negative
"bad quality, waste of money.",negative
"excellent quality, fast delivery, great price.",positive
poor service and terrible product.,negative
"standard quality product, meets basic requirements.",neutral
"Really poor product, does not meet expectations.",negative
"Average product, nothing special but it works.",neutral
bad service and unhelpful customer support.,negative
Quite perfect! exactly what i was looking for.,positive
"Quite the product is decent, nothing exceptional.",neutral
"Really functional product, nothing exceptional.",neutral
"Extremely average quality, nothing remarkable.",neutral
"Really awful quality, very disappointed.",negative
Extremely the item arrived as described.,neutral
amazing features and great design. love it!,positive
"Extremely this is terrible, do not buy.",negative
Extremely poor quality and slow shipping. very disappointed.,negative
"Very terrible product, complete waste of money.",negative
"Excellent value, would buy again.",positive
"Quite functional, nothing to write home about.",neutral
"the product is decent, nothing exceptional.",neutral
Extremely very unhappy with this purchase.,negative
"Very perfect product, highly recommend!",positive
very disappointed with this purchase.,negative
very disappointed with this purchase.,negative
"It's okay, nothing special.",neutral
"Really terrible experience, would not recommend.",negative
"Quite standard product, works as expected.",neutral
"Really it works fine, standard quality.",neutral
"Really functional, nothing to write home about.",neutral
"Quite wonderful experience, will definitely buy again.",positive
"horrible experience, will never buy again.",negative
Really excellent quality and fast shipping. highly recommend!,positive
Highly satisfied with this purchase.,positive
Really excellent quality and fast shipping. highly recommend!,positive
"Very it works fine, standard quality.",neutral
Really worst quality i've ever seen.,negative
poor quality and slow shipping. very disappointed.,negative
Very poor quality and slow shipping. very disappointed.,negative
Extremely best purchase i've made this year. worth every penny.,positive
this is wonderful! i'm very satisfied.,positive
"Very outstanding quality, very happy customer.",positive
"Quite terrible customer service, avoid this company.",negative
"terrible customer service, avoid this company.",negative
"Really it works, but could be better.",neutral
"Very poor product, does not meet expectations.",negative
"Very standard product, does its job.",neutral
"Extremely the product is fine, nothing exceptional.",neutral
worst quality i've ever seen.,negative
"Extremely poor quality, not recommended.",negative
"Very outstanding product, highly recommended!",positive
it does what it's supposed to do.,neutral
it does what it's supposed to do.,neutral
Quite this product is a complete disaster.,negative
excellent quality and fast shipping. highly recommend!,positive
"poor product, does not meet expectations.",negative
"Pretty standard product, works as expected.",neutral
outstanding service and great customer support.,positive
"The product is decent, nothing exceptional.",neutral
"Extremely average product, meets expectations.",neutral
very unhappy with this purchase.,negative
highly satisfied with this purchase.,positive
"Pretty standard quality product, meets basic requirements.",neutral
"Quite standard quality, works fine.",neutral
"Extremely wonderful experience, will definitely buy again.",positive
"Pretty excellent value, would buy again.",positive
"Very it's okay, nothing special.",neutral
this product is a complete disaster.,negative
"perfect product, highly recommend!",positive
"Very standard product, does its job.",neutral
Really very disappointed with this purchase.,negative
this is wonderful! i'm very satisfied.,positive
"Quite the product is functional, nothing more.",neutral
"it's okay, meets basic needs.",neutral
outstanding service and great customer support.,positive
"Very average product, acceptable quality.",neutral
"outstanding quality, very happy customer.",positive
"Pretty poor quality, not recommended.",negative
"Quite horrible product, completely unsatisfied.",negative
Quite excellent quality and fast shipping. highly recommend!,positive
"Excellent quality, fast delivery, great price.",positive
Very very unhappy with this purchase.,negative
Pretty this product is amazing! i love it so much.,positive
"Awful quality, very disappointed.",negative
Poor service and terrible product.,negative
"Quite this is terrible, do not buy.",negative
"the item is fine, nothing special.",neutral
"Really perfect product, highly recommend!",positive
"amazing product, exceeded all expectations.",positive
Pretty perfect! exactly what i was looking for.,positive
love this product! it's exactly what i needed.,positive
"fantastic product, exceeded my expectations.",positive
"Really it works, but could be better.",neutral
"horrible quality, avoid at all costs.",negative
"Really terrible experience, would not recommend.",negative
Extremely the item arrived as described.,neutral
Really perfect! exactly what i was looking for.,positive
"awful quality, very disappointed.",negative
"Pretty it's okay, nothing special.",neutral
